Название,Жанры,Описание,Год выпуска,Постер,Рейтинг
Крёстный отец,"Мелодрама, Триллер",Мужчина исследует свои сны и управляет ими.,1991,https://via.placeholder.com/300x450?text=No+Image,9.5
Побег из Шоушенка,Мелодрама,"Будущее, в котором люди живут в симуляции.",2007,https://via.placeholder.com/300x450?text=No+Image,8.9
Интерстеллар,"Боевик, Мелодрама",Мужчина исследует свои сны и управляет ими.,2012,https://via.placeholder.com/300x450?text=No+Image,7.5
Форрест Гамп,"Триллер, Драма, Боевик",Маги соревнуются за признание.,2021,https://via.placeholder.com/300x450?text=No+Image,7.0
Матрица,"Мелодрама, Криминал, Фантастика",Команда ищет новый дом для человечества.,2017,https://via.placeholder.com/300x450?text=No+Image,9.0
Начало,"Приключения, Драма, Триллер",Мужчина исследует свои сны и управляет ими.,2012,https://via.placeholder.com/300x450?text=No+Image,8.8
Остров проклятых,Криминал,Маги соревнуются за признание.,2002,https://via.placeholder.com/300x450?text=No+Image,8.8
Побег из Шоушенка,Боевик,"Будущее, в котором люди живут в симуляции.",2008,https://via.placeholder.com/300x450?text=No+Image,8.9
Начало,"Фантастика, Криминал",Команда ищет новый дом для человечества.,2003,https://via.placeholder.com/300x450?text=No+Image,7.2
Побег из Шоушенка,"Боевик, Триллер",Маги соревнуются за признание.,2002,https://via.placeholder.com/300x450?text=No+Image,7.9
Интерстеллар,"Приключения, Боевик, Мелодрама",Герой в маске борется с преступностью.,2018,https://via.placeholder.com/300x450?text=No+Image,7.3
Крёстный отец,"Триллер, Мелодрама, Боевик",Подпольный клуб меняет сознание героя.,2007,https://via.placeholder.com/300x450?text=No+Image,9.2
Темный рыцарь,Криминал,Маги соревнуются за признание.,2017,https://via.placeholder.com/300x450?text=No+Image,8.6
Матрица,Драма,"Будущее, в котором люди живут в симуляции.",2014,https://via.placeholder.com/300x450?text=No+Image,7.8
Бойцовский клуб,Приключения,Охранник тюрьмы обнаруживает чудо.,2019,https://via.placeholder.com/300x450?text=No+Image,7.2
Крёстный отец,Триллер,Простой парень с добрым сердцем меняет мир.,2000,https://via.placeholder.com/300x450?text=No+Image,7.8
Интерстеллар,"Фантастика, Триллер",Подпольный клуб меняет сознание героя.,2004,https://via.placeholder.com/300x450?text=No+Image,7.8
Гладиатор,"Фантастика, Драма, Триллер",Команда ищет новый дом для человечества.,1999,https://via.placeholder.com/300x450?text=No+Image,8.8
Бойцовский клуб,"Мелодрама, Криминал, Драма",Маги соревнуются за признание.,2011,https://via.placeholder.com/300x450?text=No+Image,8.6
Престиж,"Триллер, Криминал, Мелодрама",Команда ищет новый дом для человечества.,1992,https://via.placeholder.com/300x450?text=No+Image,9.2
Матрица,Фантастика,"История человека, оказавшегося в тюрьме по ошибке.",1998,https://via.placeholder.com/300x450?text=No+Image,8.2
Побег из Шоушенка,"Мелодрама, Драма",Простой парень с добрым сердцем меняет мир.,2017,https://via.placeholder.com/300x450?text=No+Image,7.3
Интерстеллар,Боевик,Команда ищет новый дом для человечества.,2019,https://via.placeholder.com/300x450?text=No+Image,8.8
Побег из Шоушенка,Криминал,Подпольный клуб меняет сознание героя.,1994,https://via.placeholder.com/300x450?text=No+Image,8.9
Гладиатор,Мелодрама,"История человека, оказавшегося в тюрьме по ошибке.",1996,https://via.placeholder.com/300x450?text=No+Image,8.4
Зеленая миля,"Мелодрама, Приключения, Криминал",Римский генерал становится гладиатором.,2017,https://via.placeholder.com/300x450?text=No+Image,8.9
Остров проклятых,"Приключения, Боевик, Триллер",Охранник тюрьмы обнаруживает чудо.,2022,https://via.placeholder.com/300x450?text=No+Image,8.2
Бойцовский клуб,"Мелодрама, Фантастика, Приключения","История человека, оказавшегося в тюрьме по ошибке.",2015,https://via.placeholder.com/300x450?text=No+Image,8.3
Престиж,Фантастика,"Будущее, в котором люди живут в симуляции.",1999,https://via.placeholder.com/300x450?text=No+Image,8.1
Побег из Шоушенка,"Боевик, Мелодрама",Детектив раскрывает тайну на острове.,2016,https://via.placeholder.com/300x450?text=No+Image,7.1
Зеленая миля,Криминал,Простой парень с добрым сердцем меняет мир.,2016,https://via.placeholder.com/300x450?text=No+Image,7.3
